latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),cpu-freq,layer,edge-accelerator,server-accelerator
1112.7557935139998,90.84566483326776,4.69199356861931,1006.333548984,94.674795,11.747449529999828,86.15367126464844,6.237796783447266,1.7000000476837158,8.722000122070312,25.5,591.021484375,1800.0,7.0,off,True
4033.983040666,82.57233905323663,17.43429278858819,3930.112913831,72.997958,30.872168835000068,65.13804626464844,4.29618501663208,1.7000000476837158,0.0,25.1,591.021484375,1800.0,17.0,off,False
4000.009090737,82.69989148245256,17.331818972686936,3916.223216167,72.957699,10.828175570000028,65.36807250976562,4.293208122253418,1.7000000476837158,0.0,25.1,591.021484375,1800.0,17.0,off,False
141.55928067,90.53275554865536,0.4686457464092612,32.330615166,98.725872,10.502793503999996,90.0641098022461,6.676778793334961,1.7000000476837158,10.788999557495115,38.2,591.021484375,1800.0,3.0,off,True
140.467092356,89.49974131368197,0.4638450124124288,32.117566085,98.151622,10.197904271,89.03589630126953,6.656578063964844,1.7999999523162842,10.854999542236328,38.5,591.021484375,1800.0,3.0,off,True
133.558466295,92.41488552998968,0.4084081740326643,20.797591804,101.390802,11.370072490999988,92.00647735595705,6.8118391036987305,1.7000000476837158,10.517999649047852,39.0,588.025390625,1800.0,0.0,off,True
3920.604364565,18.429247210164608,18.429247210164608,3920.604355214,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4389.100825075,81.72010808267136,18.62712865151901,4308.991191352,70.183806,9.925827723000111,63.09297943115234,4.192638874053955,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
115.834311247,89.46496094091775,0.3673733554685354,8.289238967,97.251392,10.29368027999999,89.09758758544922,6.657328128814697,1.7000000476837158,11.128999710083008,86.3,588.025390625,1400.0,0.0,off,True
3292.5445313060004,85.51364764266415,12.342177000574305,3201.422681409,80.598549,10.523300897000624,73.17147064208984,5.154575824737549,1.7999999523162842,6.164999961853027,25.2,591.021484375,1200.0,11.0,off,True
118.515143482,90.3822320098304,0.4049370879553914,10.520293118,97.903869,10.090981364,89.977294921875,6.699307918548584,1.7000000476837158,11.031999588012695,79.3,588.025390625,1800.0,0.0,off,True
3919.886247604,18.42002385864557,18.42002385864557,3919.88623853,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4381.643740402001,81.30590756015441,18.58763058261535,4301.5454150430005,69.853104,10.245221359000226,62.71827697753906,4.146371841430664,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
115.368152401,88.18340367454955,0.3648383058972119,8.366891735000001,96.364257,10.637003665999998,87.81856536865234,6.591385841369629,1.7999999523162842,11.184000015258787,85.7,588.025390625,1400.0,0.0,off,True
149.586709234,89.86770777490653,0.4842696645549655,42.612426064000005,97.734447,9.239836170000004,89.38343811035156,6.676736831665039,1.7999999523162842,11.026000022888184,38.4,591.021484375,1200.0,4.0,off,True
116.412138584,90.51225148015897,0.3982530670730233,7.640825610999999,98.788551,9.98276197300001,90.11399841308594,6.754405975341797,1.7000000476837158,10.965999603271484,80.9,588.025390625,1800.0,0.0,off,True
3925.956554131,18.43268456954387,18.43268456954387,3925.956544261,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4386.723909765999,81.3409830230897,18.614061941546737,4306.095313849,69.886631,10.74196491699908,62.72692108154297,4.147194862365723,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
115.734810281,88.92292866575708,0.3657234655617714,8.278986693,97.222813,10.233010588000012,88.55720520019531,6.634613037109375,1.7000000476837158,11.107999801635742,86.4,588.025390625,1400.0,0.0,off,True
149.11171385100002,87.61917547745101,0.48354010147444,42.655555688,95.849014,10.60714416300003,87.13563537597656,6.551982879638672,1.7999999523162842,11.190999984741213,38.4,591.021484375,1200.0,4.0,off,True
114.612819477,89.0013032072666,0.3924698942783236,7.612640453,97.097917,9.90226202400001,88.60883331298828,6.637462139129639,1.7999999523162842,11.07800006866455,82.0,588.025390625,1800.0,0.0,off,True
3916.106065353,18.39660460231555,18.39660460231555,3916.106056075,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4392.926153155,82.81169742998605,18.63154453691965,4310.8998946110005,71.106624,10.919634543999578,64.1801528930664,4.218766212463379,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
118.441229072,89.17481668059096,0.3746839291261196,10.613198564,97.085144,10.742886507999998,88.80013275146484,6.611081123352051,1.7999999523162842,11.098999977111816,85.2,588.025390625,1400.0,0.0,off,True
2080.656521263,86.17348320008654,9.617216415418566,1985.263946632,84.479547,10.913027630999892,76.55626678466797,5.402866840362549,1.7000000476837158,6.921999931335449,25.2,591.021484375,1800.0,10.0,off,True
116.019109339,88.2384987180841,0.3999672239434719,7.645140673999999,96.843793,11.530175664999987,87.83853149414062,6.570437908172607,1.7999999523162842,11.125,81.1,588.025390625,1800.0,0.0,off,True
3932.072953268,16.715343819184206,16.715343819184206,3932.072943398,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4377.020970587,82.70290449585436,18.371445450444195,4296.118548269,70.391538,10.510884318000391,64.33145904541016,4.142115116119385,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
118.881883661,92.95709317602976,0.3729256955610155,8.341182729,99.875748,10.664952932000006,92.58416748046876,6.715205192565918,1.7000000476837158,10.67199993133545,86.0,588.025390625,1400.0,0.0,off,True
155.05945164,93.8884078359513,0.4983855581192613,43.379098513,100.660943,11.019410126999986,93.39002227783205,6.757682800292969,1.7000000476837158,10.593999862670898,38.3,591.021484375,1200.0,4.0,off,True
118.277987944,92.86346419500887,0.4007948224502802,7.695913809999999,99.654097,10.927977134000017,92.4626693725586,6.708868980407715,1.7999999523162842,10.696000099182127,80.6,588.025390625,1800.0,0.0,off,True
3921.961286738,18.19895334792459,18.19895334792459,3921.961277571,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4386.651411694001,79.3972378300716,17.011526160149728,4297.099594734999,69.097566,20.45425095900137,62.38571166992188,4.095417022705078,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
120.329080302,90.65487611246486,0.339476942542994,10.659110699,99.239155,10.430814603000002,90.31539916992188,6.73521614074707,1.7000000476837158,10.897000312805176,85.8,588.025390625,1400.0,0.0,off,True
153.682454745,91.708985494695,0.4446269741871833,42.769047126,100.215679,10.697728619000005,91.2643585205078,6.788864135742188,1.7999999523162842,10.6899995803833,38.1,591.021484375,1200.0,4.0,off,True
117.282003814,90.92350275277968,0.3602932190882802,7.76258397,99.370265,10.149154843999996,90.5632095336914,6.749200820922852,1.7000000476837158,10.815999984741213,79.9,588.025390625,1800.0,0.0,off,True
3926.77561343,17.021676482308973,17.021676482308973,3926.775603707,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4417.260620179,79.26243839428048,17.143725015374233,4303.258724433,68.640981,45.36091474599972,62.11871337890625,4.073919773101807,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
117.190161587,90.39726201758224,0.3310083554728627,8.453066863,98.394032,10.343062723999992,90.06625366210938,6.726884841918945,1.7000000476837158,11.090999603271484,85.5,588.025390625,1400.0,0.0,off,True
2747.592300632,90.1136866436322,8.39116009333924,2647.5352128060003,89.732083,10.325004825999583,81.72252655029297,5.926411151885986,1.7000000476837158,8.376999855041504,25.3,591.021484375,800.0,8.0,off,True
118.713592928,89.71365973700264,0.3640122150299906,10.551934679,97.772837,10.388821249000005,89.34964752197266,6.716403961181641,1.7000000476837158,11.118000030517578,79.8,588.025390625,1800.0,0.0,off,True
3920.921422738,16.966317024394133,16.966317024394133,3920.921413627,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4472.287225041,81.02350887732528,17.29147610144638,4342.87470967,70.233675,59.17884037100015,63.732032775878906,4.199380874633789,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
133.658465058,91.06500453867297,0.3749105445323228,10.613940292,98.6584,24.386124765999995,90.69009399414062,6.755005836486816,1.7000000476837158,10.914999961853027,85.8,588.025390625,1400.0,0.0,off,True
150.760616926,89.59783454230322,0.4364270716000915,42.613105381,97.748979,10.398532545000007,89.16140747070312,6.699307918548584,1.7000000476837158,10.949999809265137,38.1,591.021484375,1200.0,4.0,off,True
117.216315429,89.9507126142104,0.3599762250502467,7.855038372,98.07803,11.283247057000011,89.59073638916016,6.728367805480957,1.7999999523162842,10.935999870300291,79.2,588.025390625,1800.0,0.0,off,True
3945.808347055,17.037544049460053,17.037544049460053,3945.808337741,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4394.338682838001,78.80622330422315,17.067522437523937,4310.517815976,69.150368,14.670498862000912,61.73870086669922,4.103220939636231,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
117.227726796,90.01756140659732,0.3310761160699844,8.214055582,98.672895,10.340776214000002,89.68648529052734,6.727818965911865,1.7000000476837158,10.91100025177002,86.8,588.025390625,1400.0,0.0,off,True
2750.457311541,90.49433755981012,8.39488840209527,2649.3942380050003,90.420248,10.642825535999592,82.09944915771484,5.938870906829834,1.7000000476837158,8.279999732971191,25.3,591.021484375,800.0,8.0,off,True
116.205207892,90.08312038571512,0.3561840453830957,7.72130657,97.96278,10.521121322000011,89.72693634033203,6.700772762298584,1.7000000476837158,10.98799991607666,80.5,588.025390625,1800.0,0.0,off,True
3921.275379886,16.95207686930542,16.95207686930542,3921.275370164,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,1800.0,19.0,off,False
4395.927733983,80.75669490969457,17.066082116725827,4295.757491547,70.987449,29.18279343600008,63.69061279296875,4.1994309425354,1.7000000476837158,0.0,25.1,591.021484375,1600.0,16.0,off,True
