accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),cpu-freq,layer,edge-accelerator,server-accelerator
0.608,116.699034979,70.5395375901692,0.5772267991535782,37.711671597000006,75.396018,3.591345382,69.96231079101562,4.602872848510742,1.7000000476837158,2.187000036239624,34.7,98.0244140625,1400,14,std,True
0.611,123.404591688,70.86637352719089,0.6130776287533879,44.046603465,75.960618,3.397370222999996,70.2532958984375,4.617047786712647,1.7000000476837158,1.2209999561309814,31.9,98.0244140625,1400,15,std,True
0.611,123.183774207,69.91347865733577,0.6124456373162388,44.306614107,75.011925,3.865235099999993,69.30103302001953,4.562047958374023,1.7000000476837158,1.2580000162124634,32.0,98.0244140625,1400,15,std,True
0.611,123.937864773,70.41019741009107,0.6147414774738789,44.283505988,76.022113,3.632245784999995,69.79545593261719,4.620820045471191,1.7000000476837158,1.2309999465942385,31.8,98.0244140625,1400,15,std,True
0.611,123.183781944,70.44900783547975,0.6122845078430295,44.187779116,75.243455,3.752547828000005,69.83672332763672,4.576986789703369,1.7000000476837158,1.2400000095367432,32.0,98.0244140625,1400,15,std,True
0.611,161.412683832,70.49477212469907,0.7814924005779743,82.338757325,75.504685,3.569241507000001,69.7132797241211,4.592345237731934,1.7000000476837158,1.2510000467300415,31.6,98.0244140625,1400,15,std,True
0.611,123.271428519,70.65705988401929,0.6127865075544475,44.228909176,75.331086,3.711433342999996,70.04427337646484,4.580050945281982,1.7000000476837158,1.2419999837875366,31.9,98.0244140625,1400,15,std,True
0.611,122.575241389,69.99400816842692,0.6092654316105127,44.161255577,75.081176,3.3328098119999936,69.3847427368164,4.568448066711426,1.7000000476837158,1.2599999904632568,31.9,98.0244140625,1400,15,std,True
0.611,123.629233095,70.82821100473295,0.6135351014126302,44.580705196,75.595393,3.4531348989999917,70.21467590332031,4.599881172180176,1.7000000476837158,1.2389999628067017,31.3,98.0244140625,1400,15,std,True
0.611,122.726707039,69.27546040121862,0.6094218880350232,44.116353162,74.748413,3.861940876999995,68.6660385131836,4.54786491394043,1.7000000476837158,1.2730000019073486,31.8,98.0244140625,1400,15,std,True
0.608,115.728266881,71.06887232484524,0.5873736065835238,36.375273729,75.954573,3.398420152,70.48149871826172,4.6421217918396,1.7000000476837158,2.184000015258789,32.9,98.0244140625,1600,14,std,True
0.608,116.592605196,71.50939408964061,0.5914787454023241,36.186951676,76.231908,4.173745519999983,70.91791534423828,4.659679889678955,1.7000000476837158,2.1730000972747803,32.9,98.0244140625,1600,14,std,True
0.608,115.20032165,70.35380044088303,0.5839411269181967,36.085522513,75.60743,3.507369137000012,69.76985931396484,4.620738983154297,1.7000000476837158,2.180999994277954,32.9,98.0244140625,1600,14,std,True
0.608,115.179861823,69.61750540516468,0.584493015027964,36.51008179,74.960764,3.7090160329999975,69.03301239013672,4.569651126861572,1.7000000476837158,2.196000099182129,32.5,98.0244140625,1600,14,std,True
0.608,114.830786068,70.50407767935265,0.582446819977653,36.104143156000006,75.172929,3.5537139120000063,69.921630859375,4.538610935211182,1.7000000476837158,2.213000059127808,33.1,98.0244140625,1600,14,std,True
0.608,114.00923878399999,67.80071437220245,0.5656832442727566,37.326838078,72.991352,3.6910487059999753,67.23503112792969,4.442360877990723,1.7999999523162842,2.2119998931884766,35.1,98.0244140625,1400,14,std,True
0.608,111.066896139,66.37997041743557,0.5660360912636995,36.509719404,71.24609,3.3110867349999893,65.81393432617188,4.339836120605469,1.7000000476837158,2.2760000228881836,32.4,98.0244140625,1600,14,std,True
0.608,110.90205731399999,66.66511742373498,0.5655614544967055,35.977031724,71.320911,3.6041145899999947,66.09955596923828,4.341854095458984,1.7000000476837158,2.2829999923706055,33.4,98.0244140625,1600,14,std,True
0.608,116.505067628,66.28872059438427,0.5906996593256831,41.31927175,71.548231,3.6375648780000063,65.6980209350586,4.358194828033447,1.7000000476837158,2.246000051498413,32.5,98.0244140625,1600,14,std,True
0.608,110.531590423,65.73688220808879,0.5639772398270727,36.125474959,70.939937,3.466178463999995,65.17290496826172,4.321162223815918,1.7000000476837158,2.2780001163482666,33.3,98.0244140625,1600,14,std,True
