accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.699,3923.076123404,16.73694963866923,16.73694963866923,3923.07611409,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,15,2996.7190210387525,edge,1800,19,off,False
0.699,4386.798125081001,84.79059509239482,16.834540404894817,4301.116780649,75.213897,10.467447432000512,67.9560546875,4.463232040405273,1.7000000476837158,0.0,25.1,591.021484375,15,2996.7190210387525,energy,1600,16,off,True
0.699,120.956247444,94.18399977884752,0.3379685898826599,8.318160364,102.589211,10.048876079999983,93.84603118896484,6.939137935638428,1.7000000476837158,10.32699966430664,86.2,588.025390625,15,2996.7190210387525,latency,1400,0,off,True
0.699,2079.739345295,87.97640747726236,8.736241766813135,1980.51822125,87.656645,11.564479045000128,79.24016571044922,5.605259895324707,1.7000000476837158,6.584000110626221,25.2,591.021484375,15,2996.7190210387525,splinter:latency,1800,10,off,True
0.699,120.5865044,93.31098088233044,0.3697958847718477,7.806066968,102.227473,10.55296443200001,92.9411849975586,6.910635948181152,1.7000000476837158,10.345999717712402,79.8,588.025390625,16,1199.0974533340604,cloud,1800,0,off,True
0.699,3922.582562238,16.74875586176008,16.74875586176008,3922.582552627,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,16,1199.0974533340604,edge,1800,19,off,False
0.699,4406.21509106,81.0313625361275,16.868764879877503,4320.987488328,69.644082,15.58352073200038,64.16259765625,4.131221771240234,1.7000000476837158,0.0,25.1,591.021484375,16,1199.0974533340604,energy,1600,16,off,True
0.699,120.392510674,91.9548411133726,0.3367686036069631,10.649966401,98.438881,11.303663272999998,91.61807250976562,6.598113059997559,1.7000000476837158,11.032999992370604,86.0,588.025390625,16,1199.0974533340604,latency,1400,0,off,True
0.699,1112.808172648,89.35342254160784,4.59546508311175,1010.244231579,90.805371,11.758570068999958,84.7579574584961,5.97166109085083,1.7000000476837158,9.12600040435791,25.4,591.021484375,16,1199.0974533340604,splinter:latency,1800,7,off,True
0.699,120.129259453,93.49415442944073,0.3684983015110254,7.705557449,100.284307,12.139395003999994,93.12565612792967,6.758187770843506,1.7000000476837158,10.75100040435791,81.2,588.025390625,17,4697.197476916461,cloud,1800,0,off,True
0.699,3925.443200856,16.760632716521144,16.760632716521144,3925.443191319,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,17,4697.197476916461,edge,1800,19,off,False
0.699,4389.513704849,81.86797419209488,16.812065988969874,4302.255706819,70.545425,16.71257302999973,65.055908203125,4.151031970977783,1.7000000476837158,0.0,25.1,591.021484375,17,4697.197476916461,energy,1600,16,off,True
0.699,117.992892121,93.38874426711796,0.3304709516882896,8.432058999,99.546963,10.013870122,93.05827331542967,6.700771808624268,1.7000000476837158,10.744000434875488,86.0,588.025390625,17,4697.197476916461,latency,1400,0,off,True
0.699,4373.960919484,81.11649113890019,16.793836414779094,4293.080296111,70.078813,10.801810373000166,64.3226547241211,4.12401819229126,1.7000000476837158,0.0,25.1,591.021484375,17,4697.197476916461,splinter:latency,1600,16,off,True
0.699,118.396993925,92.42406714171376,0.3635202667137504,7.826698139999999,99.029823,11.540472785000006,92.060546875,6.689435958862305,1.7000000476837158,10.82699966430664,79.9,588.025390625,18,5496.681567594935,cloud,1800,0,off,True
0.699,3917.466806234,16.741866589965593,16.741866589965593,3917.466795975,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,18,5496.681567594935,edge,1800,19,off,False
0.699,4379.42562109,78.97620957524572,16.825311595509387,4299.585261528,68.992932,10.847427562000236,62.15089797973633,4.093091011047363,1.7000000476837158,0.0,25.1,591.021484375,18,5496.681567594935,energy,1600,16,off,True
0.699,117.309234986,90.01807678224986,0.3290127563709616,8.356776349999999,98.581805,10.370653636,89.6890640258789,6.721756935119629,1.7000000476837158,11.02400016784668,85.9,588.025390625,18,5496.681567594935,latency,1400,0,off,True
0.699,4369.37746255,79.26818622001227,16.81459201224859,4282.430660714001,69.200595,17.746206835999388,62.45359420776367,4.098836898803711,1.7999999523162842,0.0,25.1,591.021484375,18,5496.681567594935,splinter:latency,1600,16,off,True
0.699,116.256773122,90.12182385488084,0.3576255516581774,7.722801609,98.119963,10.414008513,89.76419830322266,6.673241138458252,1.7000000476837158,11.005000114440918,80.9,588.025390625,19,4292.372940789839,cloud,1800,0,off,True
0.699,3924.098232012,16.801596649457636,16.801596649457636,3924.098222087,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,19,4292.372940789839,edge,1800,19,off,False
0.699,4415.882495991,79.24066743639406,16.968271348747574,4296.323928350001,68.780182,50.778385640999176,62.27239608764648,4.114850044250488,1.7000000476837158,0.0,25.1,591.021484375,19,4292.372940789839,energy,1600,16,off,True
0.699,116.726383461,90.09006219435992,0.3275194697505474,8.228982322,98.104741,10.392660139,89.76254272460938,6.722404003143311,1.7000000476837158,10.97599983215332,86.7,588.025390625,19,4292.372940789839,latency,1400,0,off,True
0.699,4018.471798142,80.56723268817932,17.095732291450798,3936.88971088,70.179124,11.402963262000185,63.47150039672852,4.167102813720703,1.7999999523162842,0.0,25.1,591.021484375,19,4292.372940789839,splinter:latency,1800,17,off,False
0.699,118.281807218,89.54672120940444,0.3645160092091322,10.61340519,97.319706,10.348696028000006,89.18220520019531,6.678738117218018,1.7000000476837158,11.086000442504885,80.1,588.025390625,20,696.6674451610392,cloud,1800,0,off,True
0.699,3933.549078582,16.837901321354472,16.837901321354472,3933.549068527,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,20,696.6674451610392,edge,1800,19,off,False
0.699,4408.260227253,79.89248482923611,16.94165627699001,4299.60717234,69.422767,39.23028791300024,62.950828552246094,4.12355899810791,1.7000000476837158,0.0,25.1,591.021484375,20,696.6674451610392,energy,1600,16,off,True
0.699,116.611059965,89.87010227939368,0.3267444302725791,8.34525321,97.803794,10.462012755000018,89.5433578491211,6.695407867431641,1.7999999523162842,11.039999961853027,86.4,588.025390625,20,696.6674451610392,latency,1400,0,off,True
0.699,152.75670434900002,89.91983811218203,0.4397432025140643,42.734151811,98.248871,11.77368153800002,89.48009490966797,6.708783149719238,1.7999999523162842,10.890000343322754,38.4,591.021484375,20,696.6674451610392,splinter:latency,1200,4,off,True
