accuracy,latency,energy,avg energy edge (J),avg latency edge (ms),avg latency cloud (ms),avg latency transfer (ms),avg energy cloud (J),avg energy cloud gpu (J),utilization cloud cpu (%),utilization cloud gpu (%),utilization edge cpu (%),tensor size (KB),index,qos,strategy,cpu-freq,layer,edge-accelerator,server-accelerator
0.603,443.405122331,2.2264865593508123,2.2264865593508123,443.40510946100005,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,4,641.439097226919,splinter:latency,800,22,std,False
0.605,97.513312867,67.81790472173887,0.3430512061138749,10.564985417,74.520406,12.42792145,67.474853515625,4.801770210266113,1.7000000476837158,4.506999969482422,87.8,588.025390625,5,4115.060522719543,cloud,1800,0,off,True
0.603,425.268419311,2.4099241072709323,2.4099241072709323,425.268409367,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,5,4115.060522719543,edge,1800,22,max,False
0.603,433.587820724,2.406632546365988,2.406632546365988,433.587811169,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,5,4115.060522719543,energy,800,22,std,False
0.605,105.519798817,67.16563313350635,0.335104874229002,20.911113717,74.176484,10.4322011,66.83052825927734,4.783023834228516,1.7000000476837158,4.521999835968018,94.2,588.025390625,5,4115.060522719543,latency,1200,0,off,True
0.603,443.064371503,2.225107337348282,2.225107337348282,443.064358688,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,5,4115.060522719543,splinter:latency,800,22,std,False
0.605,97.707125314,67.40319285398006,0.3440803051519394,9.445850089,73.754115,14.507160224999993,67.05911254882812,4.758969783782959,1.7999999523162842,4.533999919891357,82.0,588.025390625,6,1203.305802680872,cloud,1800,0,off,True
0.603,425.334697517,2.4038225493700978,2.4038225493700978,425.334687202,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,6,1203.305802680872,edge,1800,22,max,False
0.603,433.810507434,2.403819092711687,2.403819092711687,433.810496971,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,6,1203.305802680872,energy,800,22,std,False
0.605,98.628030579,67.33965533149727,0.3147911347199201,10.880165045,74.640236,13.107629533999996,67.02486419677734,4.81505823135376,1.7000000476837158,4.485000133514404,94.7,588.025390625,6,1203.305802680872,latency,1200,0,off,True
0.603,443.835434279,2.2260364534436823,2.2260364534436823,443.835421612,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,6,1203.305802680872,splinter:latency,800,22,std,False
0.605,92.772982372,66.69620273812552,0.3256506751372456,8.792337526,73.548282,10.43236284599999,66.37055206298828,4.753966808319092,1.7000000476837158,4.550000190734863,87.9,588.025390625,7,1290.340507350371,cloud,1800,0,off,True
0.603,425.679182611,2.4038516514132025,2.4038516514132025,425.679172814,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,7,1290.340507350371,edge,1800,22,max,False
0.603,433.471188059,2.40004747221446,2.40004747221446,433.471178152,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,7,1290.340507350371,energy,800,22,std,False
0.605,96.212539189,67.05005577786744,0.3067391274768233,10.750869397,74.302434,11.15923579199999,66.74331665039062,4.79813289642334,1.7000000476837158,4.53000020980835,94.3,588.025390625,7,1290.340507350371,latency,1200,0,off,True
0.603,443.869677211,2.2240317164316297,2.2240317164316297,443.869664155,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,7,1290.340507350371,splinter:latency,800,22,std,False
0.605,93.464289206,66.8566003755509,0.3299585298477769,9.272832587,73.531957,10.659499619000002,66.52664184570312,4.751430988311768,1.7000000476837158,4.552999973297119,83.6,588.025390625,8,2813.4749688531188,cloud,1800,0,off,True
0.603,425.21019566,2.400016424701833,2.400016424701833,425.210186993,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,8,2813.4749688531188,edge,1800,22,max,False
0.603,434.27104907,2.4025387694076064,2.4025387694076064,434.271039552,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,8,2813.4749688531188,energy,800,22,std,False
0.605,99.11435304,68.30941040950448,0.3155368133130669,12.322805601,75.061963,11.729584439000009,67.9938735961914,4.832541942596436,1.7000000476837158,4.488999843597412,81.9,588.025390625,8,2813.4749688531188,latency,1200,0,off,True
0.603,443.371628237,2.223466935745704,2.223466935745704,443.371615145,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,8,2813.4749688531188,splinter:latency,800,22,std,False
0.605,94.032849479,67.3111974244761,0.3308965211557865,8.804230514,74.561664,10.666954965000016,66.98030090332031,4.798279762268066,1.7000000476837158,4.508999824523926,87.3,588.025390625,9,2262.996772178989,cloud,1800,0,off,True
0.603,426.483446593,2.418066096475387,2.418066096475387,426.483437056,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,9,2262.996772178989,edge,1800,22,max,False
0.603,434.318411735,2.413908551651025,2.413908551651025,434.318401383,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,9,2262.996772178989,energy,800,22,std,False
0.605,94.842771551,66.3252832509671,0.3039667226467847,10.681338932,73.633186,10.528246619,66.02131652832031,4.741799831390381,1.7000000476837158,4.544000148773193,96.0,588.025390625,9,2262.996772178989,latency,1200,0,off,True
0.603,443.530712889,2.2284979989234213,2.2284979989234213,443.530699759,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,9,2262.996772178989,splinter:latency,800,22,std,False
0.605,95.084754565,68.61326132119383,0.3352843314477324,8.945184043,75.396538,10.743032521999991,68.2779769897461,4.844096183776856,1.7000000476837158,4.4710001945495605,88.4,588.025390625,10,775.1108850558755,cloud,1800,0,off,True
0.603,426.096343252,2.4114865137445567,2.4114865137445567,426.09633353,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,10,775.1108850558755,edge,1800,22,max,False
0.603,433.871270847,2.4083390094180226,2.4083390094180226,433.871260532,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,10,775.1108850558755,energy,800,22,std,False
0.605,94.927119987,66.8786657585711,0.3045461907000065,10.729738123,73.522878,10.674503863999988,66.5741195678711,4.730969905853272,1.7000000476837158,4.541999816894531,94.2,588.025390625,10,775.1108850558755,latency,1200,0,off,True
0.603,442.791593905,2.224250387969148,2.224250387969148,442.791580479,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,10,775.1108850558755,splinter:latency,800,22,std,False
